102,망원역1번출구앞,마포구서교동475-54,마포구,96,북악산도시자연공원,02-2148-2843,서울특별시 종로구 부암동 산2-6,종로구,37.5554371,126.9107616
103,망원역2번출구앞,마포구망원동378-18,마포구,98,북한산국립공원,02-2148-2834,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,강북구,37.555007,126.9108335
104,합정역 1번출구 앞,마포구 서교동 393-7 ,마포구,99,외국인묘지공원,02-3153-9554,서울특별시 마포구 양화진길 46(외국인묘지공원),마포구,37.5504685,126.9149352
105,합정역 5번출구 앞,마포구 서교동 394-95,마포구,100,불광근린공원,02-351-8004,서울특별시 은평구 불광동 산33-1,은평구,37.5497749,126.9146623
106,합정역 7번출구 앞,마포구 합정동 381-1 ,마포구,101,불암산도시자연공원,02-2116-3943,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,노원구,37.5486937,126.9129103
107,신한은행 서교동금융센터점 앞,마포구 서교동 449-28,마포구,102,용마폭포공원,02-2094-2965,서울특별시 중랑구 면목동 산1-4 ,중랑구,37.5582671,126.9180003
108,서교동 사거리,마포구 서교동 427 ,마포구,103,사육신공원,02-820-9844,서울특별시 동작구 노량진로 191,동작구,37.5527907,126.9184009
109,제일빌딩 앞,마포구 당인동 12-2,마포구,104,용왕산근린공원,02-2620-3574,서울특별시 양천구 목동 199-51,양천구,37.5477501,126.9200478
111,상수역 2번출구 앞,마포구 상수동 309-10 ,마포구,106,사직근린공원,02-2148-2834,서울특별시 종로구 사직로9길 5,종로구,37.5466338,126.9226203
112,극동방송국 앞,마포구 상수동 89-2 ,마포구,107,우장산근린공원,02-2600-4185,서울특별시 강서구 내발산동 산4-5,강서구,37.5496074,126.9230415
113,삼성서비스센터 앞,마포구 동교동 156-8,마포구,108,삼일근린공원,02-820-9845,서울특별시 동작구 사당동 산24-17,동작구,37.5574834,126.9239332
114,홍대입구역 8번출구 앞,마포구 동교동 192-5 ,마포구,109,삼청근린공원,02-2148-4150,서울특별시 종로구 북촌로 134-1 (우) 03050,종로구,37.5563369,126.9232084
118,광흥창역 2번출구 앞,마포구 창전동 243-3,마포구,110,인왕산도시자연공원,02-2148-2834,서울특별시 종로구 옥인동 산 3-1 ,종로구,37.5474489,126.931414
119,서강나루 공원,창전동 165-5,마포구,111,상도근린공원,02-820-1396,서울특별시 동작구 성대로6사길 27-6(상도공원) ,동작구,37.5452111,126.9310578
120,신수동 사거리,마포구 신수동 371-11,마포구,112,일자산도시자연공원,02-3425-6443,서울특별시 강동구 동남로 660(일자산공원),강동구,37.5451817,126.9344803
121,마포소방서 앞,마포구 신수동 100-18,마포구,114,쌍문근린공원,02-2091-3754,서울특별시 도봉구 쌍문동 산80,도봉구,37.5496612,126.9330404
122,신성기사식당 앞,마포구 신수동 50-2,마포구,117,수락산도시자연공원,02-2116-3966 ,서울특별시 노원구 상계동 산3-1,노원구,37.547245,126.9385758
124,서강대 정문 옆,마포구 신수동 84-5,마포구,118,송파나루근린공원(석촌호수),02-400-3595,서울특별시 송파구 잠실로 148 (잠실동) ,송파구,37.5506344,126.9377423
125,서강대 남문 옆,마포구 신수동 1-30,마포구,119,선유도근린공원,02-2631-9368,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,영등포구,37.5473456,126.9352416
126,서강대 후문 옆,마포구 대흥동 38-16 ,마포구,120,손기정체육공원,02-3396-5894,서울특별시 중구 손기정로 101 ,중구,37.5505719,126.9440344
127,현대벤처빌 앞,마포구 노고산동 31-213,마포구,122,성북근린공원,02-2241-3683,서울특별시 성북구 돈암동 616-1055,성북구,37.5530957,126.9384034
129,신촌역(2호선) 6번출구 옆,마포구 노고산동 31-123,마포구,123,봉제산공원,02-2600-4184,서울특별시 강서구 화곡동 산41-6,강서구,37.5545603,126.9368457
130,신촌역(2호선) 7번출구 앞,마포구 노고산동 31-123,마포구,124,서울창포원,02-954-0031,서울특별시 도봉구 마들로 916(서울창포원) ,도봉구,37.5545603,126.9368457
136,대흥동 주민센터,마포구 노고산동 1-83,마포구,125,북서울꿈의숲,02-2289-4000~5,서울특별시 강북구 월계로 173,강북구,37.5558305,126.9426371
400,상암한화오벨리스크 1차 앞,마포구 상암동 527,마포구,127,서서울호수공원,02-2604-3004 ,서울특별시 양천구 남부순환로64길 20 (신월동),양천구,37.5876182,126.8826995
401,상암월드컵파크 10단지 앞,마포구 상암동 594,마포구,128,중랑캠핑숲,02-434-4371(중랑캠핑숲)/02-432-2567(청소년체험의숲),서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),중랑구,37.5859163,126.881295
