ahn,hong,moon,pop,광역시도_x,시군,ID,rate_moon,rate_hong,rate_ahn,x,y,광역시도_y,시도,moon_vs_hong,moon_vs_ahn,ahn_vs_hong
22313.0,22325.0,42512.0,102566.0,서울특별시,종로구,서울 종로,41.44843320398572,21.766472320262075,21.75477253670807,6,4,서울특별시,종로구,19.681960883723647,19.69366066727765,-0.011699783554004028
19372.0,17901.0,34062.0,82852.0,서울특별시,중구,서울 중구,41.11186211557959,21.605996234249023,23.381451262492153,6,5,서울특별시,중구,19.505865881330568,17.730410853087438,1.7754550282431296
32109.0,35230.0,58081.0,148157.0,서울특별시,용산구,서울 용산,39.202332660623526,23.778829214954406,21.672280081265143,6,6,서울특별시,용산구,15.42350344566912,17.530052579358383,-2.1065491336892634
45674.0,40566.0,86686.0,203175.0,서울특별시,성동구,서울 성동,42.66568229358927,19.966039128829827,22.48012796850006,7,5,서울특별시,성동구,22.699643164759443,20.18555432508921,2.514088839670233
52824.0,46368.0,105512.0,240030.0,서울특별시,광진구,서울 광진,43.957838603507895,19.31758530183727,22.00724909386327,7,6,서울특별시,광진구,24.640253301670626,21.950589509644626,2.689663792026
53359.0,51631.0,98958.0,236092.0,서울특별시,동대문구,서울 동대문,41.91501618013317,21.86901716280094,22.60093522863968,7,4,서울특별시,동대문구,20.04599901733223,19.31408095149349,0.731918065838741
62778.0,56545.0,111450.0,265706.0,서울특별시,중랑구,서울 중랑,41.9448563449828,21.28103994640693,23.626865783986812,8,4,서울특별시,중랑구,20.66381639857587,18.31799056099599,2.3458258375798806
66518.0,57584.0,129263.0,295866.0,서울특별시,성북구,서울 성북,43.6897108826293,19.462864945617273,22.482475174572272,6,3,서울특별시,성북구,24.226845937012026,21.207235708057027,3.019610228954999
51669.0,42268.0,89645.0,210614.0,서울특별시,강북구,서울 강북,42.563647240924155,20.068941285954402,24.532557189930394,5,3,서울특별시,강북구,22.494705954969753,18.03109005099376,4.463615903975992
55600.0,47461.0,94898.0,229233.0,서울특별시,도봉구,서울 도봉,41.39805350887525,20.70426160282333,24.254797520426816,5,2,서울특별시,도봉구,20.69379190605192,17.143255988448434,3.5505359176034865
96325.0,67590.0,158167.0,374213.0,서울특별시,노원구,서울 노원,42.26657010846764,18.061905919890545,25.74068779010884,6,2,서울특별시,노원구,24.204664188577095,16.5258823183588,7.678781870218295
72582.0,60109.0,140180.0,317275.0,서울특별시,은평구,서울 은평,44.18249152943031,18.9453943739658,22.87668426443937,4,5,서울특별시,은평구,25.237097155464507,21.30580726499094,3.9312898904735682
46237.0,40513.0,93768.0,212076.0,서울특별시,서대문구,서울 서대문,44.214338256096866,19.103057394518945,21.802089816858107,5,4,서울특별시,서대문구,25.11128086157792,22.41224843923876,2.6990324223391617
52545.0,46547.0,117336.0,256992.0,서울특별시,마포구,서울 마포,45.65745237205827,18.11223695679243,20.446161748225624,5,5,서울특별시,마포구,27.545215415265844,25.21129062383265,2.333924791433194
71816.0,60814.0,133853.0,310886.0,서울특별시,양천구,서울 양천,43.05533217964141,19.56151129352882,23.100429096196034,4,7,서울특별시,양천구,23.49382088611259,19.954903083445377,3.538917802667214
88128.0,76601.0,175882.0,397108.0,서울특별시,강서구,서울 강서,44.290721919477825,19.28971463682424,22.19245142379403,4,6,서울특별시,강서구,25.001007282653585,22.098270495683796,2.9027367869697898
61734.0,59194.0,121077.0,278805.0,서울특별시,구로구,서울 구로,43.42712648625383,21.23132655440182,22.1423575617367,4,9,서울특별시,구로구,22.19579993185201,21.284768924517135,0.9110310073348771
36695.0,31106.0,67423.0,155010.0,서울특별시,금천구,서울 금천,43.49590349009741,20.06709244564867,23.672666279594864,5,8,서울특별시,금천구,23.428811044448743,19.823237210502548,3.6055738339461954
53994.0,53615.0,105834.0,248833.0,서울특별시,영등포구,서울 영등포,42.53214002965844,21.546579432792274,21.698890420482815,4,8,서울특별시,영등포구,20.98556059686617,20.833249609175628,0.15231098769054086
60305.0,54431.0,121722.0,276685.0,서울특별시,동작구,서울 동작,43.99298841643024,19.67255181885538,21.795543668793034,5,6,서울특별시,동작구,24.320436597574858,22.197444747637203,2.122991849937655
79495.0,59914.0,159854.0,351240.0,서울특별시,관악구,서울 관악,45.51133128345291,17.057852180845007,22.632672816307938,5,7,서울특별시,관악구,28.453479102607904,22.878658467144973,5.574820635462931
63977.0,74891.0,106416.0,292916.0,서울특별시,서초구,서울 서초,36.32986931406956,25.56739816193038,21.84141528629368,6,7,서울특별시,서초구,10.762471152139181,14.48845402777588,-3.7259828756366993
80201.0,97639.0,128927.0,365642.0,서울특별시,강남구,서울 강남,35.26044601003167,26.703442164740377,21.934296388270493,6,8,서울특별시,강남구,8.557003845291295,13.326149621761179,-4.769145776469884
99018.0,98549.0,177328.0,441198.0,서울특별시,송파구,서울 송파,40.192385278265085,22.33668330318814,22.44298478234262,8,6,서울특별시,송파구,17.855701975076947,17.749400495922465,0.10630147915448163
67499.0,65893.0,122511.0,297476.0,서울특별시,강동구,서울 강동,41.18349043284164,22.150694509809192,22.69056999556267,8,5,서울특별시,강동구,19.032795923032445,18.49292043727897,0.5398754857534769
